,Title,Ingredients,Servings,Difficulty,Calories,Fats/g,Protein/g,Carbs/g,Time,URL,Ingredients_parsed,Ingredients_final
12,Chicken goujons,"['6 wholemeal pittas', '4 x 120 g free-range skinless chicken breasts', '1 bunch of fresh basil , (30g)', '1 large free-range egg', '2 cloves of garlic', '20 g Parmesan cheese', '1 lemon', '4 heaped tablespoons Greek yoghurt', '1 ripe avocado', 'chipotle Tabasco sauce', 'extra virgin olive oil', '2 little gem lettuces', '320 g ripe cherry tomatoes']",4,Not too tricky,520.0,15.5,47.2,48.3,23 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-goujons/,wholemeal pitta free range skinless chicken breast bunch fresh basil large free range egg clove garlic parmesan cheese lemon greek yoghurt ripe avocado chipotle tabasco sauce extra virgin olive oil little gem lettuce ripe cherry tomato,pitta chicken basil egg garlic parmesan cheese lemon greek yoghurt avocado chipotle tabasco gem lettuce tomato
13,Sweet & sour stir-fry,"['100 g fine rice noodles', '1 x 227 g tin of pineapple chunks in juice', '2 heaped teaspoons cornflour', '1 tablespoon cider vinegar', '2 teaspoons low-salt soy sauce', '2 teaspoons sesame seeds', '30 g cashew nuts', '4 spring onions', '2 cloves of garlic', '2 cm piece of ginger', '1 fresh red chilli', '200 g sugarsnap peas', 'groundnut oil', '200 g sprouts , such as alfalfa sprouts, chickpea sprouts, beansprouts', '1 lime']",2,Super easy,492.0,16.7,14.8,70.7,21 minutes,https://www.jamieoliver.com/recipes/vegetable-recipes/sweet-and-sour-stir-fry/,fine rice noodle tin pineapple chunk juice cornflour cider vinegar low salt soy sauce sesame seed cashew nut spring onion clove garlic piece ginger fresh red chilli sugarsnap pea groundnut oil sprout such a alfalfa chickpea beansprouts lime,rice noodle pineapple cornflour cashew onion garlic ginger sugarsnap pea sprout alfalfa chickpea beansprouts lime
14,Sardine spaghetti,"['2 large ripe tomatoes , (200g)', '1 x 120 g tin of sardine fillets in olive oil', '200 g baby spinach', '300 g dried wholewheat spaghetti', '1 bulb of fennel', '2 lemons', '20 g ricotta salata', '1 pinch of dried chilli flakes']",4,Not too tricky,217.0,7.0,14.8,25.6,30 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/sardine-spaghetti/,large ripe tomato tin sardine fillet olive oil baby spinach dried wholewheat spaghetti fennel lemon ricotta salata dried chilli flake,tomato sardine spinach wholewheat fennel lemon salata
16,Griddled avocado & broccoli tacos,"['50 g pumpkin seeds', '1 head of broccoli', 'olive oil', '3 ripe avocados', 'ground cayenne pepper', '16 tacos', 'DRESSING', '1 large bunch of fresh coriander , (60g)', '250 g ricotta cheese', '1 splash of milk', '1 clove of garlic']",16 tacos,Not too tricky,182.0,8.8,5.9,21.1,40 minutes,https://www.jamieoliver.com/recipes/avocado-recipes/avocado-and-broccoli-tacos/,pumpkin seed head broccoli olive oil ripe avocado ground cayenne pepper taco dressing large bunch fresh coriander ricotta cheese splash milk clove garlic,pumpkin head broccoli avocado cayenne taco coriander cheese milk garlic
17,Lovely lamb balti,"['1 medium butternut squash', '½ a jar of balti curry paste', '500 g lamb neck fillet', '1 lime', '1 x 500 g tub of Greek yoghurt', 'groundnut oil', '2 cloves of garlic', '4cm piece of ginger', '1 fresh red chilli', '1 onion', '2 x 400 g tins of quality plum tomatoes', 'a few sprigs of fresh coriander']",4 to 6,Not too tricky,235.0,15.5,12.6,10.3,1 hour 30 minutes,https://www.jamieoliver.com/recipes/lamb-recipes/lovely-lamb-balti/,butternut squash a jar balti curry paste lamb neck fillet lime tub greek yoghurt groundnut oil clove garlic piece ginger fresh red chilli onion tin quality plum tomato a few sprig fresh coriander,jar balti lamb neck lime tub greek yoghurt garlic ginger onion tomato coriander
18,Harissa meatball wraps,"['500 g minced beef', '1 x 250 g sachet of cooked grains or lentils', '1 lemon', '1 bunch of fresh flat-leaf parsley , (30g)', '3 teaspoons harissa', '350 g red cabbage', '1 small red onion', '1 red apple', '4 tablespoons natural yoghurt', 'olive oil', '4 wholemeal tortilla', 'pickled chillies , optional']",4 +2 leftover meatball portions,Super easy,434.0,12.1,28.3,50.3,30 minutes,https://www.jamieoliver.com/recipes/beef-recipes/harissa-meatball-wraps/,minced beef sachet cooked grain or lentil lemon bunch fresh flat leaf parsley harissa red cabbage small red onion red apple natural yoghurt olive oil wholemeal tortilla pickled chilli optional,beef sachet grain lentil lemon harissa cabbage onion apple yoghurt pickled
19,Jacket spuds & homemade beans,"['4 large Maris Piper potatoes', 'olive oil', '1 red pepper', '1 bunch of spring onions', '1 head of broccoli , (375g)', '1 heaped teaspoon smoked paprika', '2 x 400 g tins of cannellini beans', '1 x 400 g tin of plum tomatoes', '80 g Cheddar cheese', '1 x 80 g bag of watercress, spinach & rocket', 'extra virgin olive oil , optional']",4,Not too tricky,475.0,12.8,24.2,64.4,1 hour 5 minutes,https://www.jamieoliver.com/recipes/vegetable-recipes/jacket-spuds-and-homemade-beans/,large mari piper potato olive oil red pepper bunch spring onion head broccoli smoked paprika tin cannellini bean tin plum tomato cheddar cheese bag spinach rocket extra virgin olive oil optional,mari piper potato onion head broccoli paprika cannellini tomato cheddar cheese bag spinach rocket
20,Rocket & pistachio pesto pasta,"['80 g wild rocket', '½ a clove of garlic', '50 g shelled unsalted pistachios', 'olive oil', '25 g Parmesan cheese , plus extra to serve', '1 lemon', '320 g asparagus', '300 g dried linguine']",4,Not too tricky,524.0,26.3,15.8,60.9,18 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/rocket-and-pistachio-pesto-pasta/,wild rocket a clove garlic shelled unsalted pistachio olive oil parmesan cheese plus extra to serve lemon asparagus dried linguine,rocket garlic pistachio parmesan cheese lemon linguine
21,"Potato, pepper & broccoli frittata","['600 g Maris Piper potatoes', '1 bunch of spring onions', '1 head of broccoli , (375g)', '1 red pepper', '1 teaspoon smoked paprika', '8 large eggs', '40 g Cheddar cheese', '1 x 80 g bag of watercress, spinach & rocket', 'extra virgin olive oil']",4,Not too tricky,373.0,19.1,23.0,30.1,30 minutes,https://www.jamieoliver.com/recipes/vegetable-recipes/potato-pepper-and-broccoli-frittata/,mari piper potato bunch spring onion head broccoli red pepper smoked paprika large egg cheddar cheese bag spinach rocket extra virgin olive oil,mari piper potato onion head broccoli paprika egg cheddar cheese bag spinach rocket
22,Fantastic fish skewers,"['olive oil', '1 clove of garlic', '2 lemons', '2 sprigs of fresh rosemary', '1 red pepper', '4 x 130 g white fish fillets , skin off, pin-boned, from sustainable sources', '2 thick slices of wholemeal bread , (200g)', '8 rashers of higher-welfare smoked pancetta or smoked streaky bacon', '2 x 250 g sachets of cooked puy lentils', '2 x 80 g bags of watercress, spinach & rocket', '4 tablespoons natural yoghurt']",4,Super easy,507.0,20.8,39.5,41.8,22 minutes,https://www.jamieoliver.com/recipes/fish-recipes/fantastic-fish-skewers/,olive oil clove garlic lemon sprig fresh rosemary red pepper white fish fillet skin pin from sustainable source thick wholemeal bread rasher higher welfare smoked pancetta or smoked streaky bacon sachet cooked puy lentil bag spinach rocket natural yoghurt,garlic lemon rosemary pancetta bacon sachet puy lentil bag spinach rocket yoghurt
23,Smoky veg patties,"['1 head of broccoli', '1 bunch of spring onions', '600 g Maris Piper potatoes', 'olive oil', '1 red pepper', 'red wine vinegar', '1 x 400 g tin of cannellini beans', '60 g Cheddar cheese', '½ teaspoon smoked paprika', '4 large eggs', '1 x 80 g bag of watercress, spinach & rocket', 'extra virgin olive oil']",4,Super easy,402.0,18.6,20.1,41.8,25 minutes,https://www.jamieoliver.com/recipes/vegetable-recipes/smoky-veg-patties/,head broccoli bunch spring onion mari piper potato olive oil red pepper red wine vinegar tin cannellini bean cheddar cheese smoked paprika large egg bag spinach rocket extra virgin olive oil,head broccoli onion mari piper potato wine cannellini cheddar cheese paprika egg bag spinach rocket
24,Lamb & chunky veg steamed pudding,"['400 g lamb neck fillet , cut into 5cm dice', 'olive oil', '2 leeks', '2 carrots', '200 g swede', '1 teaspoon English mustard', '1 teaspoon mint sauce', '1 heaped tablespoon plain flour', '250 ml red wine', '1 litre organic beef stock', '350 g self-raising flour', '175 g unsalted butter (cold) , plus extra for greasing']",6,Not too tricky,625.0,33.3,24.9,52.4,5 hours 20 minutes,https://www.jamieoliver.com/recipes/lamb-recipes/lamb-and-chunky-veg-steamed-pudding/,lamb neck fillet cut into dice olive oil leek carrot swede english mustard mint sauce plain flour red wine organic beef stock self raising flour unsalted butter plus extra for greasing,lamb neck dice leek carrot swede mustard mint wine beef self raising butter greasing
25,5-a-day spiced veg stew,"['1 sweet potato , (300g)', '1 aubergine , (250g)', '2 mixed-colour peppers', '2 onions', 'olive oil', '½ a bunch of fresh coriander , (15g)', '30 g sun-dried tomatoes', '2 tablespoons Thai curry paste , (choose your favourite)', '½ x 400 g tin of light coconut milk', '160 g mangetout', '2 teaspoons soy or fish sauce', '1 lime', '2 flatbreads , optional']",2,Not too tricky,414.0,11.2,11.8,69.4,53 minutes,https://www.jamieoliver.com/recipes/vegetable-recipes/5-a-day-spiced-veg-stew/,sweet potato aubergine mixed colour pepper onion olive oil a bunch fresh coriander sun dried tomato thai curry paste your tin light coconut milk mangetout soy or fish sauce lime flatbread optional,potato onion coriander sun tomato thai coconut milk mangetout lime flatbread
26,Quick seafood pasta,"['300 g dried linguine', '250 g squid , gutted, cleaned, from sustainable sources', '250 g mussels , scrubbed, debearded, from sustainable sources', '250 g cockles or clams , scrubbed, from sustainable sources', '4 scallops with roe attached , from sustainable sources', '1 clove of garlic', '1 bunch of fresh flat-leaf parsley , (30g)', '1 lemon', '1 fresh red chilli , optional', 'olive oil', '1 tablespoon baby capers', '1 handful of samphire , optional', '1 x 400 g tin of quality plum tomatoes', '20 g Parmesan cheese', 'extra virgin olive oil']",4,Not too tricky,507.0,11.5,36.6,68.3,20 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/quick-seafood-pasta/,dried linguine squid from sustainable source mussel from sustainable source cockle or clam from sustainable source scallop with roe attached from sustainable source clove garlic bunch fresh flat leaf parsley lemon fresh red chilli optional olive oil baby caper handful samphire optional tin quality plum tomato parmesan cheese extra virgin olive oil,linguine squid mussel cockle clam scallop roe attached garlic lemon samphire tomato parmesan cheese
27,One-pan veggie lasagne,"['1 leek', '50 g unsalted butter', 'olive oil', '500 g asparagus', '50 g plain flour', '2 teaspoons English mustard', '800 ml semi-skimmed milk', '300 g fresh or frozen peas', '300 g fresh or frozen broad beans', '½ a bunch of fresh mint , (15g)', '80 g Parmesan cheese , plus extra to serve', '80 g mature Cheddar cheese', '250 g fresh lasagne sheets', '50 g blanched almonds', '1 lemon , optional', 'green pesto , optional']",6,Not too tricky,516.0,26.7,28.9,42.1,45 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/one-pan-veggie-lasagne/,leek unsalted butter olive oil asparagus plain flour english mustard semi skimmed milk fresh or frozen pea fresh or frozen broad bean a bunch fresh mint parmesan cheese plus extra to serve mature cheddar cheese fresh lasagne sheet blanched almond lemon optional green pesto optional,leek butter mustard semi skimmed milk pea broad mint parmesan cheese mature cheddar cheese lasagne sheet blanched lemon pesto
28,Fish finger tacos,"['1.2 kg white fish fillets , skin off, pin-boned, from sustainable sources', '100 g plain flour', '2 large free-range eggs', '2 teaspoons chipotle paste', '250 g wholemeal bread', 'olive oil', '¼ of a red cabbage , (150g)', 'white wine vinegar', '2 corn on the cob', '1 lime', 'extra virgin olive oil', '4 wholemeal tortillas', 'natural yoghurt or soured cream , to serve']",4 + 6 leftover fish fingers,Not too tricky,489.0,13.7,32.4,55.7,45 minutes,https://www.jamieoliver.com/recipes/fish-recipes/fish-finger-tacos/,white fish fillet skin pin from sustainable source plain flour large free range egg chipotle paste wholemeal bread olive oil a red cabbage white wine vinegar corn on the cob lime extra virgin olive oil wholemeal tortilla natural yoghurt or soured cream to serve,egg chipotle cabbage wine cob lime yoghurt soured
29,Chargrilled squid & cannellini beans,"['2 fresh red chillies', '½ a bunch of flat-leaf parsley , (15g)', '2 lemons', 'extra virgin olive oil', '8 squid , cleaned, gutted, from sustainable sources', 'olive oil', '2 cloves of garlic', '2 x 400 g tins of cannellini beans', 'red wine vinegar', '200 g rocket']",4,Not too tricky,417.0,16.5,41.7,21.4,25 minutes,https://www.jamieoliver.com/recipes/squid-recipes/chargrilled-squid-and-cannellini-beans/,fresh red chilli a bunch flat leaf parsley lemon extra virgin olive oil squid from sustainable source olive oil clove garlic tin cannellini bean red wine vinegar rocket,lemon squid garlic cannellini wine rocket
30,"Spinach, feta & lemon filo pie","['1 kg frozen spinach', '2 onions', '2 cloves of garlic', 'olive oil', '1 whole nutmeg , for grating', '1 lemon', '100 g feta cheese', '½ a bunch of fresh flat-leaf parsley , (15g)', '½ a bunch of fresh dill , (15g)', '200 g natural yoghurt', '4 large free-range eggs', '1 x 275 g pack filo pastry', '10 g Cheddar cheese']",8,Not too tricky,285.0,11.3,14.9,32.1,1 hour,https://www.jamieoliver.com/recipes/vegetable-recipes/spinach-feta-and-lemon-filo-pie/,frozen spinach onion clove garlic olive oil nutmeg for grating lemon feta cheese a bunch fresh flat leaf parsley a bunch fresh dill natural yoghurt large free range egg pack filo pastry cheddar cheese,spinach onion garlic nutmeg lemon feta cheese dill yoghurt egg pack filo cheddar cheese
31,Gnarly oven-baked mushrooms,"['8 portobello mushrooms', 'olive oil', '1 lemon', '300 g wholewheat couscous', '3 sprigs of fresh mint', '2 cloves of garlic', '3 sprigs of fresh rosemary', '2 tablespoons baby capers', '2 x 400 g tins of quality cherry tomatoes', '80 g halloumi cheese', '40 g unsalted pistachios']",4,Super easy,444.0,19.7,19.9,45.3,50 minutes,https://www.jamieoliver.com/recipes/mushroom-recipes/gnarly-oven-baked-mushrooms/,portobello mushroom olive oil lemon wholewheat couscous sprig fresh mint clove garlic sprig fresh rosemary baby caper tin quality cherry tomato halloumi cheese unsalted pistachio,portobello mushroom lemon wholewheat mint garlic rosemary tomato halloumi cheese pistachio
32,Whole roasted spiced cauli,"['½ a bunch of fresh coriander , (15g)', '400 g chopped mixed onion, carrot and celery', 'olive oil', '1 small cauliflower , (600g)', '2 teaspoons smoked paprika', '2 heaped teaspoons madras curry paste', '2 x 400 g tin of green lentils', '2 x 400 g tin of blackeye beans', '3 tablespoons mango chutney , plus extra to serve']",6,Super easy,320.0,6.0,19.5,47.0,1 hour 15 minutes,https://www.jamieoliver.com/recipes/cauliflower-recipes/whole-roasted-spiced-cauli/,a bunch fresh coriander chopped mixed carrot and celery olive oil small cauliflower smoked paprika madras curry paste tin green lentil tin blackeye bean mango chutney plus extra to serve,coriander carrot celery cauliflower paprika madras lentil blackeye mango chutney
33,Chicken satay-style noodle salad,"['1 x 220 g tin of pineapple rings in juice', '200 g vermicelli rice noodles', '1 x 320 g pack of stir-fry veg', '1 clove of garlic', '1 fresh red chilli', '2 limes', '2 tablespoons teriyaki sauce', '2 tablespoons crunchy peanut butter', '4 free-range chicken thighs , skin off, bone out', '1 bunch of fresh coriander , (30g)', '1 bunch of fresh mint , (30g)', '1 teaspoon sesame oil', '2 teaspoons sesame seeds']",4,Not too tricky,534.0,18.3,26.9,62.9,20 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-satay-style-noodle-salad/,tin pineapple ring juice vermicelli rice noodle pack stir fry veg clove garlic fresh red chilli lime teriyaki sauce crunchy peanut butter free range chicken thigh skin bone out bunch fresh coriander bunch fresh mint sesame oil sesame seed,pineapple ring vermicelli rice noodle pack stir fry veg garlic lime teriyaki crunchy peanut butter chicken out coriander mint
34,Vivid green risotto,"['180 g mixed seasonal greens , such as kale, cavolo nero, swiss chard, spinach, broccoli', '1.8 litres organic vegetable stock', '3 tablespoons extra virgin olive oil', '70 g Parmesan cheese , plus extra to serve', '2 sticks of celery', '1 onion', '2 small knobs of unsalted butter', '400 g risotto rice', '½ a bunch of fresh thyme or marjoram , (15g)', '125 ml white wine', '½ a lemon']",6,Not too tricky,425.0,15.2,10.0,62.6,30 minutes,https://www.jamieoliver.com/recipes/rice-recipes/vivid-green-risotto/,mixed seasonal green such a cavolo swiss broccoli organic vegetable stock extra virgin olive oil parmesan cheese plus extra to serve stick celery onion small knob unsalted butter risotto rice a bunch fresh thyme or marjoram white wine a lemon,seasonal cavolo swiss broccoli parmesan cheese celery onion butter risotto rice thyme marjoram wine lemon
35,Katsu-style tofu rice bowls,"['450 g firm tofu', '½ teaspoon ground turmeric', '2 tablespoons white miso', 'rice vinegar', 'mirin', '300 g short grain brown rice', '60 g breadcrumbs', '40 g sesame seeds', 'olive oil', '½ teaspoon curry powder', '2 tablespoons mango chutney', '½ a pineapple', '2 fresh red chillies', '4 spring onions', '400 g mixed crunchy veg , such as carrots, sugar snaps, cucumber, cabbage', '½ a bunch of fresh coriander , (15g)', 'hot chilli sauce , to serve']",4,Not too tricky,537.0,15.5,19.4,84.9,40 minutes plus marinating,https://www.jamieoliver.com/recipes/rice-recipes/katsu-style-tofu-rice-bowl/,firm tofu ground turmeric white miso rice vinegar mirin short grain brown rice breadcrumb sesame seed olive oil curry powder mango chutney a pineapple fresh red chilli spring onion mixed crunchy veg such a sugar cabbage a bunch fresh coriander hot chilli sauce to serve,firm tofu turmeric miso rice mirin short grain rice breadcrumb mango chutney pineapple onion crunchy veg cabbage coriander
36,Roasted sweet potato burrito,"['2 medium sweet potatoes , (600g)', 'olive oil', '2 cloves of garlic', '½ a teaspoon of sweet smoked paprika', '½ a teaspoon of ground cumin', '1 x 400 g tin of black beans', '150 g long grain rice', '200 g spinach', '6 spring onions', '100 g sliced pickled jalapeños', '½ a bunch of fresh coriander , (15g)', '4 wholemeal tortillas', '4 tablespoons diary-free yoghurt', '1-2 limes']",4,Not too tricky,558.0,9.6,17.3,98.8,50 minutes,https://www.jamieoliver.com/recipes/vegetable-recipes/roasted-sweet-potato-burrito/,sweet potato olive oil clove garlic a sweet smoked paprika a ground cumin tin black bean long grain rice spinach spring onion sliced pickled jalapeno a bunch fresh coriander wholemeal tortilla diary free yoghurt lime,potato garlic paprika cumin long grain rice spinach onion pickled jalapeno coriander diary yoghurt lime
37,Cheat's squash pasta,"['1 butternut squash , (1.2kg)', '1 ciabatta roll , (85g)', '½ a bunch of fresh thyme or rosemary , (15g)', '1 clove of garlic', 'olive oil', '500 g fresh lasagne sheets', '50 g Parmesan cheese , plus extra to serve', 'extra virgin olive oil', 'chilli oil , optional']",4,Super easy,569.0,12.6,22.2,98.3,1 hour 40 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/cheats-squash-pasta/,butternut squash ciabatta roll a bunch fresh thyme or rosemary clove garlic olive oil fresh lasagne sheet parmesan cheese plus extra to serve extra virgin olive oil chilli oil optional,ciabatta roll thyme rosemary garlic lasagne sheet parmesan cheese
38,Roast duck with Marsala gravy,"['1 x 1.6kg whole duck', '2 heaped teaspoons Chinese five-spice powder', '1 clementine', '6 fresh bay leaves', 'GRAVY', '', '1 bulb of garlic', '2 carrots', '2 red onions', '3 tablespoons plain flour', '100 ml Marsala', '1 litre organic chicken stock']",6,Not too tricky,430.0,28.0,20.0,23.0,2 hours 20 minutes,https://www.jamieoliver.com/recipes/duck-recipes/roast-duck-with-marsala-gravy/,duck chinese five spice powder clementine fresh bay leaf gravy  garlic carrot red onion plain flour marsala organic chicken stock,duck chinese five clementine gravy garlic carrot onion marsala chicken
39,Best-ever Brussels sprouts,"['800 g Brussels sprouts', '2 higher-welfare Cumberland sausages', '½ a bunch of fresh sage , (15g)', '20 g unsalted butter', '1 onion', '1 sweet eating apple', '1 tablespoon Worcestershire sauce']",6 as a side,Not too tricky,158.0,8.7,8.5,12.0,30 minutes,https://www.jamieoliver.com/recipes/vegetable-recipes/best-ever-brussels-sprouts/,brussels sprout higher welfare cumberland sausage a bunch fresh sage unsalted butter onion sweet eating apple worcestershire sauce,brussels sprout cumberland sausage sage butter onion eating apple
40,Beautiful courgette carbonara,"['6 medium green and yellow courgettes', '500 g penne', '4 large eggs', '100 ml single cream', '1 small handful of Parmesan cheese', 'olive oil', '6 slices of back bacon', '½ a bunch of fresh thyme , (15g)', 'a few courgette flowers , (optional)']",6,Not too tricky,459.0,14.3,20.4,66.0,20 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/beautiful-courgette-penne-carbonara/,green and yellow courgette penne large egg single cream small handful parmesan cheese olive oil back bacon a bunch fresh thyme a few courgette flower,courgette penne egg single parmesan cheese back bacon thyme courgette flower
41,Roasted black bean burgers,"['1½ red onions', '200 g mixed mushrooms', '100 g rye bread', 'ground coriander', '1 x 400 g tin of black beans', 'olive oil', '40 g mature Cheddar cheese', '4 soft rolls', '100 g ripe cherry tomatoes', '1 lime', 'chipotle Tabasco sauce', '1 ripe mango', '1 ripe avocado', '4 tablespoons natural yoghurt', '4 sprigs of fresh coriander']",4,Not too tricky,499.0,18.7,19.0,64.0,40 minutes,https://www.jamieoliver.com/recipes/vegetable-recipes/roasted-black-bean-burgers/,red onion mixed mushroom rye bread ground coriander tin black bean olive oil mature cheddar cheese soft roll ripe cherry tomato lime chipotle tabasco sauce ripe mango ripe avocado natural yoghurt sprig fresh coriander,onion mushroom rye coriander mature cheddar cheese roll tomato lime chipotle tabasco mango avocado yoghurt coriander
42,Chicken & tofu noodle soup,"['2 shallots', '2 cloves of garlic', '2 cm piece of ginger', '4 free-range chicken thighs , skin off, bone in', 'groundnut oil', 'sesame oil', '1 star anise', '2 tablespoons low-salt soy sauce', '100 g fine rice noodles', '½ a bunch of fresh coriander , (15g)', '½ a bunch of fresh mint , (15g)', '100 g tofu', '4 spring onions', '½ a fresh red chilli', '100 g baby spinach', '4 seaweed nori sheets', '1 lime']",2,Not too tricky,629.0,29.4,39.7,50.4,1 hour 15 minutes plus chilling overnight,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-tofu-noodle-soup/,shallot clove garlic piece ginger free range chicken thigh skin bone groundnut oil sesame oil star anise low salt soy sauce fine rice noodle a bunch fresh coriander a bunch fresh mint tofu spring onion a fresh red chilli baby spinach seaweed nori sheet lime,shallot garlic ginger chicken star anise rice noodle coriander mint tofu onion spinach seaweed nori sheet lime
